bin_left,bin_right,count,cos_mean,cos_w2c_mean,cos_c2w_mean,dmargin_mean
0.0,0.02,728219,0.000867,-0.027958,0.001832,0.258482
0.02,0.05,88880,0.003082,-0.021400,0.005806,0.870013
0.05,0.1,25974,0.005727,-0.015230,0.010413,1.510676
0.1,0.2,14830,0.005319,-0.012580,0.016802,1.341117
0.2,0.4,15350,0.000255,-0.014038,0.020794,0.254487
0.4,1.01,708431,-0.002619,-0.021788,0.031297,-0.062780
