condition,total_tokens,valid_tokens,acc_normal,acc_variant,acc_normal_pct,acc_variant_pct,c2c,c2w,w2c,w2w,c2c_pct,c2w_pct,w2c_pct,w2w_pct,net_acc_delta_pct
zero,1582560,1581684,608167,574768,38.4506,36.3390,567967,40200,6801,966716,35.9090,2.5416,0.4300,61.1194,-2.1116
random,1582560,1581684,608167,573233,38.4506,36.2419,566543,41624,6690,966827,35.8190,2.6316,0.4230,61.1264,-2.2087
