bin_left,bin_right,count,cos_mean,cos_w2c_mean,cos_c2w_mean,dmargin_mean
0.0,0.02,825117,0.002132,-0.030747,0.001838,0.667214
0.02,0.05,27268,0.001327,-0.017980,0.004343,0.428725
0.05,0.1,4632,0.001076,-0.011747,0.004416,0.497840
0.1,0.2,4214,-0.000858,-0.009479,0.007132,-0.031122
0.2,0.4,6480,-0.000563,-0.006770,0.008481,0.026711
0.4,1.01,713973,-0.006958,-0.002532,0.011913,-0.174969
