condition,total_tokens,valid_tokens,acc_normal,acc_variant,acc_normal_pct,acc_variant_pct,c2c,c2w,w2c,w2w,c2c_pct,c2w_pct,w2c_pct,w2w_pct,net_acc_delta_pct
zero,38805,32613,1624,10053,4.9796,30.8251,1507,117,8546,22443,4.6209,0.3588,26.2043,68.8161,25.8455
random,38805,32613,1624,10075,4.9796,30.8926,1515,109,8560,22429,4.6454,0.3342,26.2472,68.7732,25.9130
