bin_left,bin_right,count,cos_mean,cos_w2c_mean,cos_c2w_mean,dmargin_mean
0.0,0.02,16659,-0.004195,-0.017694,0.002771,-0.398260
0.02,0.05,3470,-0.003403,-0.013144,0.003543,-0.317251
0.05,0.1,1480,-0.002614,-0.007331,0.004850,-0.305705
0.1,0.2,854,-0.002286,-0.023813,0.008228,-0.235097
0.2,0.4,477,-0.003461,-0.035986,0.017735,-0.322127
0.4,1.01,9673,0.004310,-0.015773,0.064535,0.150486
