condition,total_tokens,valid_tokens,acc_normal,acc_variant,acc_normal_pct,acc_variant_pct,c2c,c2w,w2c,w2w,c2c_pct,c2w_pct,w2c_pct,w2w_pct,net_acc_delta_pct
zero,38805,32613,14195,11042,43.5256,33.8577,10752,3443,290,18128,32.9684,10.5571,0.8892,55.5852,-9.6679
random,38805,32613,14195,11015,43.5256,33.7749,10722,3473,293,18125,32.8765,10.6491,0.8984,55.5760,-9.7507
