bin_left,bin_right,condition,count,flip_rate,acc_norm_pct,acc_var_pct,delta_acc_pct,topk_overlap_mean,target_in_topk_norm_pct,target_in_topk_var_pct,delta_target_in_topk_pct
0.0,0.02,zero,21852,51.4232,1.0937,0.7414,-0.3524,60.7569,4.4206,3.7296,-0.6910
0.02,0.05,zero,533,27.7674,13.5084,8.0675,-5.4409,71.2570,34.3340,33.2083,-1.1257
0.05,0.1,zero,424,19.3396,20.9906,15.5660,-5.4245,74.8585,44.3396,43.3962,-0.9434
0.1,0.2,zero,331,14.1994,23.8671,20.8459,-3.0211,77.0997,40.1813,39.8792,-0.3021
0.2,0.3,zero,69,31.8841,30.4348,26.0870,-4.3478,70.7246,55.0725,46.3768,-8.6957
0.3,0.4,zero,45,48.8889,42.2222,15.5556,-26.6667,64.4444,75.5556,57.7778,-17.7778
0.4,1.01,zero,9359,0.2030,98.4721,98.3652,-0.1068,99.7115,99.7970,99.6901,-0.1068
0.0,0.02,random,21852,50.8786,1.0937,0.7368,-0.3569,61.1459,4.4206,3.7479,-0.6727
0.02,0.05,random,533,27.5797,13.5084,8.2552,-5.2533,71.7824,34.3340,32.6454,-1.6886
0.05,0.1,random,424,19.1038,20.9906,15.8019,-5.1887,74.9528,44.3396,43.1604,-1.1792
0.1,0.2,random,331,13.5952,23.8671,21.1480,-2.7190,77.5831,40.1813,40.1813,0.0000
0.2,0.3,random,69,27.5362,30.4348,26.0870,-4.3478,71.5942,55.0725,46.3768,-8.6957
0.3,0.4,random,45,48.8889,42.2222,15.5556,-26.6667,65.7778,75.5556,60.0000,-15.5556
0.4,1.01,random,9359,0.2030,98.4721,98.3652,-0.1068,99.7243,99.7970,99.7115,-0.0855
