epoch,e1_net_delta,e2_mid_delta,e2_hi_delta,e3_mid_cos,e3_mid_dmargin
10,26.1368,15.8447,33.9861,-0.054431,-5.046036
20,25.8455,12.5273,39.7179,-0.048212,-5.932899
50,7.2088,40.0662,14.5277,-0.074386,-17.502081
100,4.5105,19.8198,11.3505,-0.049444,-31.094256
150,2.8271,2.9895,9.1426,-0.036155,-28.372751
200,-1.1345,-12.5149,4.2889,-0.021356,-33.696795
250,-0.7328,-4.3478,2.2145,-0.013599,-21.767852
