rank,token_id,count,frequency,cumulative_freq
1,453,103463,21.936486532329194,21.936486532329194
2,1733,2119,0.4492757310536671,22.385762263382862
3,1755,1782,0.3778241400366375,22.7635864034195
4,244,1759,0.3729476219553565,23.136534025374857
5,1744,1688,0.35789402266096754,23.494428048035825
6,1710,1662,0.3523814370038673,23.846809485039692
7,1794,1634,0.3464448062962209,24.19325429133591
8,1804,1616,0.34262840084130536,24.535882692177218
9,1678,1553,0.329270981749101,24.86515367392632
10,1726,1544,0.32736277902164324,25.192516452947963
11,1494,1505,0.31909390053599296,25.511610353483956
12,1521,1480,0.3137933374041658,25.825403690888123
13,1660,1479,0.31358131487889274,26.138985005767015
14,1753,1468,0.3112490671008888,26.450234072867904
15,1761,1449,0.3072206391207002,26.757454711988604
16,219,1437,0.30467636881742316,27.062131080806026
17,1502,1426,0.30234412103941927,27.364475201845444
18,1661,1408,0.2985277155845037,27.66300291742995
19,1772,1402,0.2972555804328652,27.960258497862814
20,165,1401,0.29704355790759207,28.257302055770406
21,1718,1391,0.29492333265486126,28.552225388425267
22,1748,1389,0.2944992876043151,28.84672467602958
23,1800,1387,0.29407524255376893,29.14079991858335
24,1624,1356,0.2875025442703033,29.428302462853654
25,1734,1353,0.286866476694484,29.71516893954814
26,1633,1352,0.2866544541692109,30.00182339371735
27,1786,1260,0.2671483818440871,30.268971775561436
28,1808,1258,0.2667243367935409,30.535696112354977
29,1769,1253,0.26566422416717556,30.80136033652215
30,1698,1249,0.2648161340660832,31.066176470588236
31,1818,1245,0.2639680439649908,31.330144514553226
32,1825,1245,0.2639680439649908,31.594112558518216
33,1776,1236,0.2620598412375331,31.85617239975575
34,22,1235,0.26184781871226,32.11802021846801
35,1691,1229,0.2605756835606215,32.378595902028636
36,1757,1228,0.26036366103534836,32.638959563063985
37,473,1224,0.25951557093425603,32.89847513399824
38,1810,1214,0.2573953456815252,33.15587047967976
39,1732,1188,0.251882760024425,33.407753239704185
40,1473,1178,0.24976253477169413,33.65751577447588
41,1688,1164,0.24679421941787094,33.904309993893754
42,1690,1163,0.24658219689259786,34.15089219078635
43,1831,1161,0.2461581518420517,34.397050342628404
44,1742,1160,0.24594612931677862,34.64299647194518
45,1827,1155,0.24488601669041318,34.8878824886356
46,1679,1146,0.2429778139629554,35.13086030259855
47,679,1136,0.24085758871022458,35.371717891308776
48,1823,1128,0.2391614085080399,35.610879299816816
49,1607,1110,0.23534500305312436,35.84622430286994
50,1685,1108,0.23492095800257817,36.08114526087252
51,1795,1100,0.23322477780039352,36.31437003867291
52,1588,1081,0.22919634982020487,36.54356638849312
53,1700,1080,0.22898432729493182,36.77255071578805
54,1645,1078,0.22856028224438563,37.00111099803244
55,1711,1071,0.22707612456747406,37.22818712259991
56,1680,1068,0.22644005699165476,37.45462717959157
57,1636,1066,0.22601601194110862,37.680643191532674
58,1773,1064,0.22559196689056243,37.906235158423236
59,1596,1062,0.2251679218400163,38.131403080263254
60,519,1060,0.2247438767894701,38.35614695705272
61,416,1059,0.22453185426419706,38.58067881131692
62,1729,1053,0.2232597191125585,38.803938530429484
63,1790,1035,0.21944331365764297,39.023381844087126
64,1524,1022,0.21668702082909289,39.24006886491622
65,1664,1021,0.21647499830381978,39.456543863220034
66,1811,1021,0.21647499830381978,39.67301886152385
67,1756,1020,0.21626297577854672,39.8892818373024
68,1615,1019,0.21605095325327364,40.10533279055567
69,1600,1013,0.2147788181016351,40.32011160865731
70,1737,1000,0.21202252527308502,40.53213413393039
71,1374,988,0.209478254969808,40.7416123889002
72,1618,983,0.20841814234344255,40.95003053124364
73,1653,980,0.2077820747676233,41.15781260601126
74,1535,980,0.2077820747676233,41.365594680778884
75,1558,979,0.20757005224235023,41.57316473302124
76,1642,973,0.20629791709071169,41.779462650111945
77,1826,972,0.20608589456543863,41.985548544677386
78,127,969,0.20544982698961936,42.19099837166701
79,1798,947,0.20078533143361152,42.39178370310062
80,1741,943,0.19993724133251914,42.59172094443314
81,1542,935,0.19824106113033446,42.789962005563474
82,1829,926,0.1963328584028767,42.98629486396635
83,1817,922,0.19548476830178438,43.18177963226813
84,1460,915,0.19400061062487278,43.37578024289301
85,1670,903,0.19145634032159575,43.5672365832146
86,1353,898,0.19039622769523035,43.75763281090983
87,1563,893,0.1893361150688649,43.946968925978695
88,920,889,0.1884880249677726,44.13545695094647
89,1549,881,0.1867918447655879,44.322248795712056
90,1654,881,0.1867918447655879,44.50904064047764
91,1641,879,0.18636779971504175,44.695408440192686
92,1518,872,0.18488364203813012,44.88029208223082
93,1833,871,0.18467161951285704,45.06496370174367
94,1709,868,0.1840355519370378,45.24899925368071
95,1677,863,0.18297543931067237,45.43197469299138
96,1789,858,0.18191532668430693,45.61389001967569
97,1574,856,0.18149128163376077,45.79538130130945
98,1743,852,0.18064319153266842,45.976024492842114
99,319,849,0.18000712395684917,46.15603161679896
100,1546,845,0.17915903385575682,46.33519065065472
101,895,840,0.17809892122939142,46.51328957188411
102,1350,840,0.17809892122939142,46.6913884931135
103,1599,839,0.17788689870411833,46.86927539181762
