condition,total_tokens,valid_tokens,acc_normal,acc_variant,acc_normal_pct,acc_variant_pct,c2c,c2w,w2c,w2w,c2c_pct,c2w_pct,w2c_pct,w2w_pct,net_acc_delta_pct
zero,1582560,1581684,610932,461108,38.6254,29.1530,453793,157139,7315,963437,28.6905,9.9349,0.4625,60.9121,-9.4724
random,1582560,1581684,610932,442056,38.6254,27.9484,435185,175747,6871,963881,27.5140,11.1114,0.4344,60.9402,-10.6770
