bin_left,bin_right,count,cos_mean,cos_w2c_mean,cos_c2w_mean,dmargin_mean
0.0,0.02,613382,-0.008409,-0.046731,-0.000283,-2.109033
0.02,0.05,178058,-0.009167,-0.040759,0.000837,-2.191348
0.05,0.1,67731,-0.010731,-0.035784,-0.000192,-2.378571
0.1,0.2,33843,-0.013889,-0.029029,0.000246,-2.749790
0.2,0.4,27315,-0.016652,-0.025799,0.002138,-2.995243
0.4,1.01,661355,-0.006761,-0.026233,0.019205,-0.624749
