epoch,e1_net_delta,e2_mid_delta,e2_hi_delta,e3_mid_cos,e3_mid_dmargin
10,-0.5029,-3.0211,-0.1068,-0.008203,-0.184152
20,-1.4074,-6.8592,-0.3000,-0.007623,-0.214516
50,-7.0923,-39.5767,-1.7288,-0.000788,-0.090178
100,-10.6369,-23.7925,-11.8567,-0.005540,-0.698835
150,-12.2742,-11.0984,-17.3121,-0.011071,-1.791759
200,-13.8411,-11.2474,-18.3275,-0.011413,-2.082331
250,-15.1504,-11.0196,-19.2895,-0.011614,-2.280567
300,-15.5827,-11.1111,-19.3485,-0.011545,-2.375630
