epoch,attn_w_mean,attn_w_std,attn_w_min,attn_w_max,attn_output_token_var_mean,token_emb_token_var_mean,delta_fused_minus_token_l2_mean,norm_speaker_proj,norm_crossattn_in,norm_crossattn_out,norm_enc0,norm_enclast,norm_output_proj
5,0.25,0.11738742887973785,0.01472708210349083,0.6319122910499573,0.00621116952970624,0.3588167428970337,16.443248748779297,12.73655891418457,27.629064559936523,12.818918228149414,53.70344924926758,56.611366271972656,44.58695983886719
10,0.25,0.12498398125171661,0.012608228251338005,0.6180446743965149,0.007712658494710922,0.3588167428970337,16.244762420654297,12.68272590637207,27.80244255065918,12.788538932800293,53.98965072631836,59.710628509521484,48.69963455200195
15,0.25,0.12253531068563461,0.0066584930755198,0.6381719708442688,0.008030882105231285,0.3588167428970337,15.879023551940918,12.686565399169922,28.04100799560547,12.791709899902344,54.26778030395508,61.676727294921875,51.247528076171875
20,0.25,0.11973799765110016,0.010055206716060638,0.6299831867218018,0.008068487979471684,0.3588167428970337,15.281944274902344,12.623903274536133,28.189226150512695,12.672490119934082,54.62538146972656,63.31392288208008,53.414207458496094
25,0.25,0.12174065411090851,0.009692685678601265,0.641680121421814,0.009029091335833073,0.3588167428970337,15.286147117614746,12.610967636108398,28.4123592376709,12.617166519165039,54.945579528808594,64.80718231201172,55.575157165527344
30,0.25,0.12428172677755356,0.007825634442269802,0.6469458937644958,0.009111613035202026,0.3588167428970337,15.324067115783691,12.632752418518066,28.682497024536133,12.625152587890625,55.32616424560547,66.26238250732422,57.98650360107422
35,0.25,0.11934084445238113,0.007006091997027397,0.6247390508651733,0.008629072457551956,0.3588167428970337,15.352102279663086,12.675328254699707,28.974512100219727,12.677735328674316,55.76565933227539,67.71795654296875,60.845497131347656
40,0.25,0.11653497815132141,0.008059590123593807,0.6271319389343262,0.00852301623672247,0.3588167428970337,15.584512710571289,12.729779243469238,29.277179718017578,12.758813858032227,56.276527404785156,69.21968841552734,64.14106750488281
