condition,total_tokens,valid_tokens,acc_normal,acc_variant,acc_normal_pct,acc_variant_pct,c2c,c2w,w2c,w2w,c2c_pct,c2w_pct,w2c_pct,w2w_pct,net_acc_delta_pct
zero,1582560,1581684,603773,607212,38.1728,38.3902,592808,10965,14404,963507,37.4795,0.6932,0.9107,60.9165,0.2174
random,1582560,1581684,603773,606041,38.1728,38.3162,591678,12095,14363,963548,37.4081,0.7647,0.9081,60.9191,0.1434
