condition,total_tokens,valid_tokens,acc_normal,acc_variant,acc_normal_pct,acc_variant_pct,c2c,c2w,w2c,w2w,c2c_pct,c2w_pct,w2c_pct,w2w_pct,net_acc_delta_pct
zero,1582560,1581684,612541,527510,38.7271,33.3512,518059,94482,9451,959692,32.7536,5.9735,0.5975,60.6753,-5.3760
random,1582560,1581684,612541,502482,38.7271,31.7688,493728,118813,8754,960389,31.2153,7.5118,0.5535,60.7194,-6.9583
