bin_left,bin_right,count,cos_mean,cos_w2c_mean,cos_c2w_mean,dmargin_mean
0.0,0.02,21921,-0.002383,-0.016605,0.006639,-0.105976
0.02,0.05,443,-0.007007,-0.033354,0.015095,-0.263542
0.05,0.1,261,-0.014080,-0.027472,0.021685,-0.449889
0.1,0.2,277,-0.007623,-0.028234,0.037917,-0.214516
0.2,0.4,378,0.003719,-0.021026,0.039832,0.140214
0.4,1.01,9333,-0.000073,-0.041670,0.043760,-0.017532
