bin_left,bin_right,count,gate_mean,gate_std,gate_p10,gate_p50,gate_p90,low_gate_frac,high_gate_frac
0.0,0.02,17035,0.494644,0.035335,0.450199,0.492974,0.539863,0.000000,0.000000
0.02,0.05,2511,0.488958,0.037335,0.440234,0.487750,0.538528,0.000000,0.000000
0.05,0.1,1383,0.483522,0.037071,0.436123,0.482045,0.534209,0.000000,0.000000
0.1,0.2,1015,0.480607,0.040259,0.429305,0.477657,0.535050,0.000000,0.000000
0.2,0.4,808,0.478432,0.038338,0.428766,0.473361,0.533045,0.000000,0.000000
0.4,1.01,9861,0.549893,0.029181,0.524301,0.548731,0.584886,0.000000,0.000000
