bin_left,bin_right,condition,count,flip_rate,acc_norm_pct,acc_var_pct,delta_acc_pct,topk_overlap_mean,target_in_topk_norm_pct,target_in_topk_var_pct,delta_target_in_topk_pct
0.0,0.02,zero,631908,96.7836,0.6360,0.4115,-0.2246,8.7028,2.9036,1.7116,-1.1919
0.02,0.05,zero,153133,95.2812,1.1957,0.8613,-0.3343,10.5717,4.7449,2.7773,-1.9676
0.05,0.1,zero,53223,92.6554,2.6831,2.1401,-0.5430,14.2311,8.2446,5.7362,-2.5083
0.1,0.2,zero,21608,85.1213,9.3576,7.2288,-2.1288,26.1311,20.5757,16.5078,-4.0679
0.2,0.3,zero,7727,69.5354,24.7056,16.6559,-8.0497,47.3379,44.4545,36.7672,-7.6873
0.3,0.4,zero,5628,60.6077,36.9758,22.7434,-14.2324,58.9872,61.9048,50.5330,-11.3717
0.4,1.01,zero,708457,21.6422,84.3583,63.7895,-20.5688,70.3188,85.8377,78.7764,-7.0613
0.0,0.02,random,631908,96.2488,0.6360,0.3948,-0.2412,9.8175,2.9036,1.7428,-1.1608
0.02,0.05,random,153133,94.3337,1.1957,0.7849,-0.4108,11.9635,4.7449,2.7982,-1.9467
0.05,0.1,random,53223,91.4116,2.6831,1.8808,-0.8023,15.6368,8.2446,5.4957,-2.7488
0.1,0.2,random,21608,84.0939,9.3576,6.3356,-3.0220,27.1325,20.5757,15.4110,-5.1648
0.2,0.3,random,7727,69.6519,24.7056,14.4946,-10.2109,47.0920,44.4545,34.2306,-10.2239
0.3,0.4,random,5628,61.7271,36.9758,20.3092,-16.6667,58.0135,61.9048,47.2814,-14.6233
0.4,1.01,random,708457,24.0712,84.3583,61.3244,-23.0339,69.3892,85.8377,76.5797,-9.2580
