bin_left,bin_right,count,cos_mean,cos_w2c_mean,cos_c2w_mean,dmargin_mean
0.0,0.02,16779,-0.001503,-0.006219,0.000153,-2.982004
0.02,0.05,2546,-0.002758,-0.011175,-0.000043,-3.821862
0.05,0.1,1244,-0.003817,-0.012620,-0.000001,-4.666887
0.1,0.2,870,-0.002807,-0.017055,0.000740,-3.511211
0.2,0.4,680,-0.002690,-0.011186,0.002059,-2.816803
0.4,1.01,10494,-0.014969,-0.015937,0.008434,-1.837588
