bin_left,bin_right,count,gate_mean,gate_std,gate_p10,gate_p50,gate_p90,low_gate_frac,high_gate_frac
0.0,0.02,2983,0.488299,0.046870,0.424528,0.489900,0.552319,0.000000,0.000000
0.02,0.05,3133,0.486458,0.046073,0.425463,0.488109,0.546494,0.000000,0.000000
0.05,0.1,3405,0.486774,0.045947,0.425735,0.488425,0.547377,0.000000,0.000000
0.1,0.2,3937,0.486038,0.046405,0.424254,0.487191,0.547475,0.000000,0.000000
0.2,0.4,3902,0.485822,0.046314,0.425399,0.485924,0.548811,0.000000,0.000000
0.4,1.01,15253,0.472223,0.049139,0.409295,0.467436,0.538384,0.000000,0.000000
