epoch,e1_net_delta,e2_mid_delta,e2_hi_delta,e3_mid_cos,e3_mid_dmargin
10,-0.3772,-2.5271,-0.0641,-0.003136,-0.033139
20,-1.6006,-6.1776,-0.7033,0.000207,0.086418
50,-7.9447,-46.2446,-1.7236,-0.000403,0.017152
100,-11.7959,-24.7624,-13.1965,-0.006432,-0.756434
150,-12.8323,-12.5262,-18.1578,-0.009169,-1.355693
200,-14.3317,-12.0104,-18.8258,-0.009287,-1.604011
250,-16.1163,-12.5729,-20.2547,-0.010068,-1.880762
300,-16.9442,-12.9756,-20.8112,-0.009381,-1.847114
