bin_left,bin_right,condition,count,flip_rate,acc_norm_pct,acc_var_pct,delta_acc_pct,topk_overlap_mean,target_in_topk_norm_pct,target_in_topk_var_pct,delta_target_in_topk_pct
0.0,0.02,zero,4901,96.3885,4.9582,1.5303,-3.4279,9.4756,16.6905,5.6723,-11.0182
0.02,0.05,zero,4177,95.9780,6.7752,1.6519,-5.1233,10.4190,18.7695,7.1343,-11.6351
0.05,0.1,zero,3759,94.8391,9.2046,2.1548,-7.0497,12.7640,24.9002,8.6459,-16.2543
0.1,0.2,zero,3487,92.8305,14.0809,2.9825,-11.0984,15.7213,31.0582,12.3602,-18.6980
0.2,0.3,zero,1610,90.3106,24.5963,5.0932,-19.5031,20.2733,43.4783,18.9441,-24.5342
0.3,0.4,zero,1070,86.1682,35.4206,7.4766,-27.9439,23.7196,54.3925,25.1402,-29.2523
0.4,1.01,zero,13609,24.0135,91.5350,74.2229,-17.3121,53.9496,95.4883,84.8630,-10.6253
0.0,0.02,random,4901,96.7558,4.9582,1.5099,-3.4483,9.4838,16.6905,5.7131,-10.9774
0.02,0.05,random,4177,96.2892,6.7752,1.6280,-5.1472,10.5051,18.7695,7.0864,-11.6830
0.05,0.1,random,3759,94.9987,9.2046,2.0750,-7.1296,12.7534,24.9002,8.4331,-16.4671
0.1,0.2,random,3487,92.7445,14.0809,3.0112,-11.0697,15.8646,31.0582,12.9624,-18.0958
0.2,0.3,random,1610,90.4969,24.5963,5.0932,-19.5031,20.2484,43.4783,19.1925,-24.2857
0.3,0.4,random,1070,86.6355,35.4206,7.0093,-28.4112,23.1776,54.3925,24.3925,-30.0000
0.4,1.01,random,13609,24.1237,91.5350,74.0686,-17.4664,53.9378,95.4883,84.7821,-10.7062
