bin_left,bin_right,count,cos_mean,cos_w2c_mean,cos_c2w_mean,dmargin_mean
0.0,0.02,13328,-0.003675,-0.021873,0.003380,-0.296636
0.02,0.05,4412,-0.003576,-0.016450,0.006232,-0.304490
0.05,0.1,2199,-0.002493,-0.016012,0.007432,-0.214573
0.1,0.2,1450,-0.000830,-0.017126,0.009342,-0.110546
0.2,0.4,1105,-0.001173,-0.019857,0.013321,-0.198590
0.4,1.01,10119,0.014284,-0.031198,0.048039,0.298751
