epoch,e1_net_delta,e2_mid_delta,e2_hi_delta,e3_mid_cos,e3_mid_dmargin
10,,-4.2169,-0.7557,-0.005852,-0.448294
20,,-10.1010,-2.4521,-0.008312,-0.795911
50,,-42.0981,-3.3704,-0.001334,-0.169757
100,,-13.0965,-13.7107,-0.010759,-1.703935
150,,-12.3525,-16.3523,-0.011341,-2.330519
200,,-13.3281,-17.7024,-0.011132,-2.510112
250,,-12.5212,-18.8339,-0.010469,-2.530623
300,,-13.7135,-19.9307,-0.010852,-2.719578
