condition,total_tokens,valid_tokens,acc_normal,acc_variant,acc_normal_pct,acc_variant_pct,c2c,c2w,w2c,w2w,c2c_pct,c2w_pct,w2c_pct,w2w_pct,net_acc_delta_pct
zero,38805,32613,12639,10536,38.7545,32.3061,10215,2424,321,19653,31.3219,7.4326,0.9843,60.2612,-6.4483
random,38805,32613,12639,10518,38.7545,32.2509,10209,2430,309,19665,31.3035,7.4510,0.9475,60.2980,-6.5035
