bin_left,bin_right,condition,count,flip_rate,acc_norm_pct,acc_var_pct,delta_acc_pct,topk_overlap_mean,target_in_topk_norm_pct,target_in_topk_var_pct,delta_target_in_topk_pct
0.0,0.02,zero,807766,96.6067,0.6267,0.3166,-0.3101,11.7190,2.9043,1.3470,-1.5573
0.02,0.05,zero,34228,85.2635,2.8281,2.7434,-0.0847,31.7126,8.0051,5.9454,-2.0597
0.05,0.1,zero,11453,68.7156,10.1895,12.3723,2.1828,51.4084,22.8674,21.0862,-1.7812
0.1,0.2,zero,9201,49.0816,27.1384,30.3771,3.2388,66.5145,48.3534,46.5058,-1.8476
0.2,0.3,zero,6894,33.4784,43.8062,45.2858,1.4795,73.8120,65.3902,64.0267,-1.3635
0.3,0.4,zero,6575,25.6882,53.9620,54.6920,0.7300,76.6570,72.6540,71.6198,-1.0342
0.4,1.01,zero,705567,0.7737,84.7759,84.7224,-0.0536,74.1003,86.2685,85.9516,-0.3169
0.0,0.02,random,807766,96.5809,0.6267,0.3146,-0.3121,11.8055,2.9043,1.3457,-1.5586
0.02,0.05,random,34228,85.1583,2.8281,2.6966,-0.1315,31.9025,8.0051,5.9250,-2.0802
0.05,0.1,random,11453,68.5934,10.1895,12.1540,1.9646,51.6022,22.8674,20.9901,-1.8772
0.1,0.2,random,9201,49.0164,27.1384,29.9641,2.8258,66.6210,48.3534,46.4080,-1.9454
0.2,0.3,random,6894,33.4494,43.8062,45.0682,1.2620,73.8265,65.3902,63.8671,-1.5231
0.3,0.4,random,6575,25.8403,53.9620,54.3422,0.3802,76.6996,72.6540,71.5437,-1.1103
0.4,1.01,random,705567,0.7812,84.7759,84.7015,-0.0744,74.0479,86.2685,85.9449,-0.3236
