epoch,e1_net_delta,e2_mid_delta,e2_hi_delta,e3_mid_cos,e3_mid_dmargin
10,-0.2944,-4.1534,-0.0968,-0.000074,-0.018764
20,-2.7964,-7.3620,-1.5516,-0.007666,-0.475460
50,-6.5863,-29.3578,-3.0746,0.000269,-0.055645
100,-9.4901,-11.4598,-12.7734,-0.007830,-1.151102
