condition,total_tokens,valid_tokens,acc_normal,acc_variant,acc_normal_pct,acc_variant_pct,c2c,c2w,w2c,w2w,c2c_pct,c2w_pct,w2c_pct,w2w_pct,net_acc_delta_pct
zero,1582560,1581684,580270,583393,36.6868,36.8843,565778,14492,17615,983799,35.7706,0.9162,1.1137,62.1995,0.1974
random,1582560,1581684,580270,583129,36.6868,36.8676,565573,14697,17556,983858,35.7576,0.9292,1.1100,62.2032,0.1808
