bin_left,bin_right,count,gate_mean,gate_std,gate_p10,gate_p50,gate_p90,low_gate_frac,high_gate_frac
0.0,0.02,22005,0.178933,0.063253,0.123172,0.163376,0.252146,0.777051,0.000000
0.02,0.05,502,0.285221,0.098704,0.134962,0.297599,0.412673,0.247012,0.000000
0.05,0.1,251,0.298312,0.090683,0.166781,0.304664,0.408891,0.151394,0.000000
0.1,0.2,271,0.281848,0.077442,0.174348,0.276773,0.397441,0.158672,0.000000
0.2,0.4,301,0.258291,0.084449,0.154677,0.252741,0.377973,0.295681,0.000000
0.4,1.01,9283,0.458358,0.043586,0.408654,0.460121,0.513225,0.003770,0.000000
