bin_left,bin_right,condition,count,flip_rate,acc_norm_pct,acc_var_pct,delta_acc_pct,topk_overlap_mean,target_in_topk_norm_pct,target_in_topk_var_pct,delta_target_in_topk_pct
0.0,0.02,zero,21997,70.7733,1.6366,1.3729,-0.2637,42.5949,6.3827,5.3916,-0.9910
0.02,0.05,zero,454,43.8326,14.3172,10.7930,-3.5242,64.0088,37.4449,34.8018,-2.6432
0.05,0.1,zero,291,30.9278,21.9931,20.9622,-1.0309,75.6701,58.4192,52.2337,-6.1856
0.1,0.2,zero,276,32.2464,35.8696,31.1594,-4.7101,76.0870,67.0290,61.2319,-5.7971
0.2,0.3,zero,188,20.2128,46.8085,38.2979,-8.5106,75.6383,73.9362,72.8723,-1.0638
0.3,0.4,zero,89,34.8315,41.5730,34.8315,-6.7416,77.3034,78.6517,75.2809,-3.3708
0.4,1.01,zero,9318,0.3863,98.8946,98.6907,-0.2039,93.9601,99.8498,99.8390,-0.0107
0.0,0.02,random,21997,70.1596,1.6366,1.3547,-0.2819,43.3205,6.3827,5.3826,-1.0001
0.02,0.05,random,454,42.5110,14.3172,11.0132,-3.3040,64.2731,37.4449,35.0220,-2.4229
0.05,0.1,random,291,31.2715,21.9931,21.6495,-0.3436,76.0137,58.4192,51.8900,-6.5292
0.1,0.2,random,276,31.5217,35.8696,32.2464,-3.6232,77.2464,67.0290,61.5942,-5.4348
0.2,0.3,random,188,21.2766,46.8085,37.2340,-9.5745,76.7021,73.9362,71.2766,-2.6596
0.3,0.4,random,89,33.7079,41.5730,33.7079,-7.8652,77.9775,78.6517,77.5281,-1.1236
0.4,1.01,random,9318,0.3649,98.8946,98.7122,-0.1824,94.2370,99.8498,99.8390,-0.0107
