condition,total_tokens,valid_tokens,acc_normal,acc_variant,acc_normal_pct,acc_variant_pct,c2c,c2w,w2c,w2w,c2c_pct,c2w_pct,w2c_pct,w2w_pct,net_acc_delta_pct
zero,38805,32613,13290,10814,40.7506,33.1586,10464,2826,350,18973,32.0854,8.6653,1.0732,58.1762,-7.5921
random,38805,32613,13290,10767,40.7506,33.0144,10428,2862,339,18984,31.9750,8.7756,1.0395,58.2099,-7.7362
