bin_left,bin_right,count,gate_mean,gate_std,gate_p10,gate_p50,gate_p90,low_gate_frac,high_gate_frac
0.0,0.02,18936,0.526909,0.035499,0.482652,0.524316,0.574036,0.000000,0.000000
0.02,0.05,2072,0.528496,0.034605,0.484752,0.526412,0.573739,0.000000,0.000000
0.05,0.1,1130,0.525175,0.032521,0.483298,0.523652,0.566895,0.000000,0.000000
0.1,0.2,839,0.525570,0.031653,0.483147,0.525544,0.566228,0.000000,0.000000
0.2,0.4,566,0.535057,0.031773,0.491823,0.536082,0.569364,0.000000,0.000000
0.4,1.01,9070,0.539801,0.023559,0.505850,0.542905,0.569003,0.000000,0.000000
