bin_left,bin_right,count,gate_mean,gate_std,gate_p10,gate_p50,gate_p90,low_gate_frac,high_gate_frac
0.0,0.02,2672,0.500261,0.039636,0.445303,0.503435,0.546120,0.000000,0.000000
0.02,0.05,1125,0.501588,0.037582,0.452183,0.503944,0.544866,0.000000,0.000000
0.05,0.1,1314,0.501261,0.034706,0.454778,0.503671,0.542768,0.000000,0.000000
0.1,0.2,1958,0.496959,0.033107,0.454167,0.496618,0.538638,0.000000,0.000000
0.2,0.4,3192,0.492582,0.034392,0.449258,0.491562,0.536620,0.000000,0.000000
0.4,1.01,22352,0.515149,0.045244,0.453680,0.521300,0.572767,0.000000,0.000000
