epoch,train_total_loss,val_total_loss,feature_mse,entropy,top10_mass,used_codes,p2_pass,p3_pass
1,0.0713065593721874,0.10835975234707197,0.07343509769998491,9.77575969696045,0.07302263379096985,1396,True,False
50,0.04356326791170387,0.07199856986602148,0.0399488520110026,8.777926445007324,0.16863812506198883,1152,True,False
71,0.04258150873090612,0.07120430568854014,0.039161883465324836,9.001235008239746,0.145552396774292,1220,True,False
78,0.042475291113886565,0.070939568678538,0.039056317127930625,8.965387344360352,0.17644508183002472,1194,True,False
100,0.041880106265990084,0.07108244424064954,0.03915290737058967,9.165974617004395,0.13037219643592834,1204,True,False
150,0.041114339347710305,0.06999232942859332,0.038120758378257354,9.093539237976074,0.13334910571575165,1224,True,False
200,0.04048669928782562,0.07016494199633598,0.03832106948830187,9.183609962463379,0.08747338503599167,1202,True,False
222,0.04023044700604967,0.06991534853974977,0.038064462086185816,9.446598052978516,0.09072628617286682,1298,True,False
250,0.040369308243195214,0.0703820673127969,0.03853832262102515,9.523554801940918,0.056501854211091995,1267,True,False
300,0.04023077035104327,0.07000892932216327,0.03822989156469703,9.207283973693848,0.13981547951698303,1286,True,False
