condition,total_tokens,valid_tokens,acc_normal,acc_variant,acc_normal_pct,acc_variant_pct,c2c,c2w,w2c,w2w,c2c_pct,c2w_pct,w2c_pct,w2w_pct,net_acc_delta_pct
zero,38805,32613,14761,10576,45.2611,32.4288,10240,4521,336,17516,31.3985,13.8626,1.0303,53.7086,-12.8323
random,38805,32613,14761,10589,45.2611,32.4686,10237,4524,352,17500,31.3893,13.8718,1.0793,53.6596,-12.7924
