condition,total_tokens,valid_tokens,acc_normal,acc_variant,acc_normal_pct,acc_variant_pct,c2c,c2w,w2c,w2w,c2c_pct,c2w_pct,w2c_pct,w2w_pct,net_acc_delta_pct
zero,38805,32613,10338,9879,31.6990,30.2916,9704,634,175,22100,29.7550,1.9440,0.5366,67.7644,-1.4074
random,38805,32613,10338,9881,31.6990,30.2977,9702,636,179,22096,29.7489,1.9501,0.5489,67.7521,-1.4013
