condition,total_tokens,valid_tokens,acc_normal,acc_variant,acc_normal_pct,acc_variant_pct,c2c,c2w,w2c,w2w,c2c_pct,c2w_pct,w2c_pct,w2w_pct,net_acc_delta_pct
zero,1582560,1581684,615787,615584,38.9324,38.9195,607465,8322,8119,957778,38.4062,0.5261,0.5133,60.5543,-0.0128
random,1582560,1581684,615787,615159,38.9324,38.8927,606965,8822,8194,957703,38.3746,0.5578,0.5181,60.5496,-0.0397
