bin_left,bin_right,condition,count,flip_rate,acc_norm_pct,acc_var_pct,delta_acc_pct,topk_overlap_mean,target_in_topk_norm_pct,target_in_topk_var_pct,delta_target_in_topk_pct
0.0,0.02,zero,2961,97.1969,6.5518,1.8575,-4.6944,9.3009,23.0665,7.0922,-15.9743
0.02,0.05,zero,3129,96.3567,7.0949,1.8856,-5.2093,10.4634,24.3528,7.8300,-16.5229
0.05,0.1,zero,3413,95.7515,9.8447,1.9924,-7.8523,11.7258,27.6590,7.9695,-19.6894
0.1,0.2,zero,3912,94.0184,14.0849,2.8374,-11.2474,13.3845,33.3078,11.4775,-21.8303
0.2,0.3,zero,2208,92.0743,19.5199,4.2120,-15.3080,15.4529,40.9873,14.4022,-26.5851
0.3,0.4,zero,1576,91.4340,26.0787,4.4416,-21.6371,18.0330,46.7005,17.5127,-29.1878
0.4,1.01,zero,15414,32.0812,84.1962,65.8687,-18.3275,46.9417,89.9507,76.3721,-13.5786
0.0,0.02,random,2961,97.5008,6.5518,1.5535,-4.9983,9.2401,23.0665,7.1597,-15.9068
0.02,0.05,random,3129,96.3247,7.0949,2.0773,-5.0176,10.4442,24.3528,7.7021,-16.6507
0.05,0.1,random,3413,95.8687,9.8447,2.1096,-7.7351,11.6086,27.6590,7.9109,-19.7480
0.1,0.2,random,3912,94.0184,14.0849,2.7863,-11.2986,13.3027,33.3078,11.1963,-22.1115
0.2,0.3,random,2208,91.9837,19.5199,4.1214,-15.3986,15.5072,40.9873,14.2210,-26.7663
0.3,0.4,random,1576,91.2437,26.0787,4.2513,-21.8274,18.1472,46.7005,17.4492,-29.2513
0.4,1.01,random,15414,32.1656,84.1962,65.8103,-18.3859,47.1493,89.9507,76.4305,-13.5202
