bin_left,bin_right,count,gate_mean,gate_std,gate_p10,gate_p50,gate_p90,low_gate_frac,high_gate_frac
0.0,0.02,1960,0.494832,0.070630,0.417753,0.491939,0.568777,0.000000,0.008673
0.02,0.05,2135,0.492288,0.071724,0.413789,0.490257,0.565587,0.000000,0.007963
0.05,0.1,2746,0.490629,0.073449,0.407871,0.488314,0.568242,0.000000,0.007647
0.1,0.2,3717,0.487416,0.074101,0.405167,0.485985,0.563804,0.000000,0.007264
0.2,0.4,4188,0.485717,0.077757,0.398410,0.484770,0.563278,0.000000,0.009074
0.4,1.01,17867,0.720525,0.255920,0.408790,0.745686,0.990496,0.000000,0.492024
