condition,total_tokens,valid_tokens,acc_normal,acc_variant,acc_normal_pct,acc_variant_pct,c2c,c2w,w2c,w2w,c2c_pct,c2w_pct,w2c_pct,w2w_pct,net_acc_delta_pct
zero,1582560,1581684,350094,620667,22.1343,39.2409,344774,5320,275893,955697,21.7979,0.3364,17.4430,60.4228,17.1066
random,1582560,1581684,350094,620516,22.1343,39.2314,344876,5218,275640,955950,21.8044,0.3299,17.4270,60.4387,17.0971
