epoch,w2c_minus_c2w_zero_pp,w2c_minus_c2w_rand_pp,net_delta_acc_zero_pp,net_delta_acc_rand_pp,mid_delta_acc_zero_pp,mid_delta_acc_rand_pp,mid_coverage_zero_pct,mid_coverage_rand_pct,cos_mean_mid,dmargin_mean_mid,have_influence,have_margins,have_geometry
10,-0.060899999999999954,-0.3184,-0.0609,-0.3183,4.0266997714632415,1.6321311254929722,3.1260985127244125,3.1260985127244125,-0.004397085994539387,-0.1542324829810901,1,1,1
20,0.3169,0.2743,0.3169,0.2744,7.958848065313993,7.8603129307453665,3.0162788521601027,3.0162788521601027,-0.007707766894441183,-0.9992099195313154,1,1,1
30,0.5160999999999999,0.32130000000000014,0.516,0.3214,4.579996951825719,4.368585315097054,6.5501705776880845,6.5501705776880845,-0.007237413810410896,-1.1665596097410307,1,1,1
40,0.7402,0.050899999999999945,0.7402,0.051,3.993352986719348,3.562818663712873,11.07313470958801,11.07313470958801,-0.009116115255050187,-1.656752613730573,1,1,1
50,0.5215000000000001,-0.3897999999999999,0.5215,-0.3898,2.794842038890884,2.394190527922428,16.900468108674048,16.900468108674048,-0.00987383995480936,-1.9571254515996288,1,1,1
