epoch,e1_net_delta,e2_mid_delta,e2_hi_delta,e3_mid_cos,e3_mid_dmargin
10,-0.4017,-4.7101,-0.2039,-0.010084,-0.449220
20,-2.4469,-10.3333,-0.8161,-0.004990,-0.503977
50,-7.5921,-37.5862,-2.6188,-0.000830,-0.110546
100,-9.8519,-11.3501,-13.2793,-0.007087,-0.879891
