condition,total_tokens,valid_tokens,acc_normal,acc_variant,acc_normal_pct,acc_variant_pct,c2c,c2w,w2c,w2w,c2c_pct,c2w_pct,w2c_pct,w2w_pct,net_acc_delta_pct
zero,38805,32613,15123,10609,46.3711,32.5300,10218,4905,391,17099,31.3311,15.0400,1.1989,52.4300,-13.8411
random,38805,32613,15123,10607,46.3711,32.5238,10212,4911,395,17095,31.3127,15.0584,1.2112,52.4177,-13.8472
