condition,total_tokens,valid_tokens,acc_normal,acc_variant,acc_normal_pct,acc_variant_pct,c2c,c2w,w2c,w2w,c2c_pct,c2w_pct,w2c_pct,w2w_pct,net_acc_delta_pct
zero,1582560,1581684,501873,350661,31.7303,22.1701,334016,167857,16645,1063166,21.1177,10.6125,1.0524,67.2173,-9.5602
random,1582560,1581684,501873,349726,31.7303,22.1110,333285,168588,16441,1063370,21.0715,10.6588,1.0395,67.2302,-9.6193
