bin_left,bin_right,count,cos_mean,cos_w2c_mean,cos_c2w_mean,dmargin_mean
0.0,0.02,6210,-0.014086,-0.036946,-0.003129,-2.241034
0.02,0.05,4665,-0.014677,-0.036435,0.001136,-2.298598
0.05,0.1,3606,-0.013334,-0.031132,0.001801,-2.105138
0.1,0.2,2976,-0.012027,-0.028786,0.004492,-1.869427
0.2,0.4,2244,-0.007887,-0.020550,0.007231,-1.260505
0.4,1.01,12912,-0.006893,-0.014286,0.018795,-0.425687
