bin_left,bin_right,count,cos_mean,cos_w2c_mean,cos_c2w_mean,dmargin_mean
0.0,0.02,21884,-0.006825,-0.012232,0.003673,-0.234574
0.02,0.05,410,-0.008882,-0.010132,0.012489,-0.617091
0.05,0.1,288,-0.005692,-0.005135,0.022125,-0.330245
0.1,0.2,332,-0.005852,-0.010868,0.026774,-0.448294
0.2,0.4,304,-0.000214,-0.005038,0.034668,-0.082662
0.4,1.01,9395,0.088821,-0.000937,0.061409,2.245726
