epoch,run,attn_w_mean,attn_w_std,attn_w_min,attn_w_max,token_var_proxy,norm_enclast,norm_output_proj
10,S1,1.0,0.0,1.0,1.0,0.0,59.13564300537109,49.35294342041016
10,K4,0.25,0.1249839812517166,0.012608228251338,0.6180446743965149,0.0077126584947109,59.71062850952149,48.69963455200195
20,S1,1.0,0.0,1.0,1.0,0.0,63.43994140625,55.36308670043945
20,K4,0.25,0.1197379976511001,0.0100552067160606,0.6299831867218018,0.0080684879794716,63.31392288208008,53.414207458496094
30,S1,1.0,0.0,1.0,1.0,0.0,66.40767669677734,59.72179412841797
30,K4,0.25,0.1242817267775535,0.0078256344422698,0.6469458937644958,0.009111613035202,66.26238250732422,57.98650360107422
40,S1,1.0,0.0,1.0,1.0,0.0,68.92610168457031,63.73653793334961
40,K4,0.25,0.1165349781513214,0.0080595901235938,0.6271319389343262,0.0085230162367224,69.21968841552734,64.14106750488281
