bin_left,bin_right,condition,count,flip_rate,acc_norm_pct,acc_var_pct,delta_acc_pct,topk_overlap_mean,target_in_topk_norm_pct,target_in_topk_var_pct,delta_target_in_topk_pct
0.0,0.02,zero,851007,86.4090,0.8670,2.2691,1.4021,27.3644,3.8879,5.3579,1.4700
0.02,0.05,zero,28743,77.6815,8.3359,57.9098,49.5738,37.8896,31.4685,61.6046,30.1360
0.05,0.1,zero,27919,84.1971,12.1924,88.0010,75.8086,32.8429,44.8261,90.5727,45.7466
0.1,0.2,zero,46331,83.9093,13.5417,92.4068,78.8651,33.2559,47.4067,94.4184,47.0117
0.2,0.3,zero,39398,82.2529,14.6962,93.2205,78.5243,34.0439,48.8603,95.2586,46.3983
0.3,0.4,zero,35798,81.0827,15.4254,93.3516,77.9261,34.6617,48.7765,95.1757,46.3992
0.4,1.01,zero,552488,23.6583,57.7985,80.9402,23.1417,68.8625,68.9485,82.5851,13.6367
0.0,0.02,random,851007,85.2222,0.8670,2.2638,1.3968,28.8204,3.8879,5.3510,1.4631
0.02,0.05,random,28743,77.0101,8.3359,57.8993,49.5634,39.3953,31.4685,61.6602,30.1917
0.05,0.1,random,27919,84.0252,12.1924,87.9903,75.7978,34.7692,44.8261,90.5799,45.7538
0.1,0.2,random,46331,83.8294,13.5417,92.3507,78.8090,35.1605,47.4067,94.4443,47.0376
0.2,0.3,random,39398,82.1768,14.6962,93.2179,78.5218,35.9607,48.8603,95.2586,46.3983
0.3,0.4,random,35798,81.0157,15.4254,93.3516,77.9261,36.5557,48.7765,95.1785,46.4020
0.4,1.01,random,552488,23.6387,57.7985,80.9346,23.1361,69.5439,68.9485,82.5835,13.6350
