bin_left,bin_right,condition,count,flip_rate,acc_norm_pct,acc_var_pct,delta_acc_pct,topk_overlap_mean,target_in_topk_norm_pct,target_in_topk_var_pct,delta_target_in_topk_pct
0.0,0.02,zero,296237,98.6352,0.7697,1.2034,0.4338,4.5863,3.0914,3.2305,0.1391
0.02,0.05,zero,224254,98.2025,1.1179,1.8234,0.7055,5.4480,4.1645,4.5275,0.3630
0.05,0.1,zero,174795,97.4421,1.8496,2.9663,1.1167,6.8463,6.1072,6.7593,0.6522
0.1,0.2,zero,134474,95.5672,3.9576,5.5907,1.6330,10.0561,11.1166,11.9190,0.8024
0.2,0.3,zero,55323,91.7846,8.7794,10.5526,1.7732,16.0425,20.8611,21.6510,0.7899
0.3,0.4,zero,31033,86.3371,15.9830,16.5469,0.5639,23.4976,33.7157,33.3000,-0.4157
0.4,1.01,zero,665568,21.9728,76.1028,63.6991,-12.4037,67.5393,80.9946,77.2944,-3.7001
0.0,0.02,random,296237,98.5150,0.7697,1.1065,0.3369,4.9904,3.0914,3.1434,0.0520
0.02,0.05,random,224254,98.0223,1.1179,1.6843,0.5663,5.8867,4.1645,4.3995,0.2350
0.05,0.1,random,174795,97.2614,1.8496,2.6711,0.8215,7.2871,6.1072,6.4899,0.3827
0.1,0.2,random,134474,95.4764,3.9576,5.0300,1.0723,10.4435,11.1166,11.3189,0.2023
0.2,0.3,random,55323,91.9310,8.7794,9.4156,0.6363,16.2797,20.8611,20.5032,-0.3579
0.3,0.4,random,31033,86.9236,15.9830,14.7391,-1.2438,23.5633,33.7157,31.5019,-2.2138
0.4,1.01,random,665568,23.6464,76.1028,61.7572,-14.3456,66.8122,80.9946,75.8080,-5.1865
