bin_left,bin_right,count,gate_mean,gate_std,gate_p10,gate_p50,gate_p90,low_gate_frac,high_gate_frac
0.0,0.02,5497,0.523997,0.032203,0.483763,0.521241,0.566382,0.000000,0.000000
0.02,0.05,2356,0.526514,0.032059,0.486634,0.524046,0.566939,0.000000,0.000000
0.05,0.1,2378,0.525689,0.032565,0.485522,0.524566,0.566845,0.000000,0.000000
0.1,0.2,3209,0.526454,0.034006,0.482322,0.526402,0.568094,0.000000,0.000000
0.2,0.4,4852,0.529052,0.033988,0.485532,0.528518,0.571016,0.000000,0.000000
0.4,1.01,14321,0.536172,0.031576,0.493746,0.537572,0.575846,0.000000,0.000000
