condition,total_tokens,valid_tokens,acc_normal,acc_variant,acc_normal_pct,acc_variant_pct,c2c,c2w,w2c,w2w,c2c_pct,c2w_pct,w2c_pct,w2w_pct,net_acc_delta_pct
zero,1582560,1581684,597909,504047,37.8021,31.8677,495551,102358,8496,975279,31.3306,6.4715,0.5371,61.6608,-5.9343
random,1582560,1581684,597909,499913,37.8021,31.6064,491658,106251,8255,975520,31.0845,6.7176,0.5219,61.6760,-6.1957
