condition,total_tokens,valid_tokens,acc_normal,acc_variant,acc_normal_pct,acc_variant_pct,c2c,c2w,w2c,w2w,c2c_pct,c2w_pct,w2c_pct,w2w_pct,net_acc_delta_pct
zero,1582560,1581684,562794,563267,35.5819,35.6119,529628,33166,33639,985251,33.4851,2.0969,2.1268,62.2913,0.0299
random,1582560,1581684,562794,550807,35.5819,34.8241,519878,42916,30929,987961,32.8686,2.7133,1.9554,62.4626,-0.7579
