condition,total_tokens,valid_tokens,acc_normal,acc_variant,acc_normal_pct,acc_variant_pct,c2c,c2w,w2c,w2w,c2c_pct,c2w_pct,w2c_pct,w2w_pct,net_acc_delta_pct
zero,1582560,1581684,597416,0,37.7709,0.0000,0,597416,0,984268,0.0000,37.7709,0.0000,62.2291,-37.7709
random,1582560,1581684,597416,0,37.7709,0.0000,0,597416,0,984268,0.0000,37.7709,0.0000,62.2291,-37.7709
