bin_left,bin_right,count,cos_mean,cos_w2c_mean,cos_c2w_mean,dmargin_mean
0.0,0.02,825397,-0.000648,-0.033554,0.001051,-0.095270
0.02,0.05,26102,-0.001284,-0.015491,0.004127,-0.124529
0.05,0.1,6516,-0.004597,-0.013130,0.016461,-0.351242
0.1,0.2,6342,-0.012156,-0.013284,0.021141,-1.191984
0.2,0.4,10676,-0.015663,-0.012788,0.029782,-1.505110
0.4,1.01,706651,-0.001413,-0.014176,0.039575,-0.127101
