epoch,e1_net_delta,e2_mid_delta,e2_hi_delta,e3_mid_cos,e3_mid_dmargin
10,-0.4814,-5.6106,-0.2470,-0.005131,-0.202991
20,-2.2230,-7.8176,-1.7325,-0.001095,-0.178630
50,-7.1199,-29.5322,-2.6505,0.002025,0.006227
100,-9.6679,-11.0446,-11.9858,-0.003363,-0.557127
150,-11.6549,-9.7431,-14.9580,-0.005516,-0.976033
200,-12.7434,-10.2659,-15.4330,-0.005831,-1.079943
250,-13.3198,-10.2791,-15.6895,-0.005193,-1.010792
300,-13.8656,-10.9499,-15.9552,-0.003627,-0.770967
