bin_left,bin_right,count,cos_mean,cos_w2c_mean,cos_c2w_mean,dmargin_mean
0.0,0.02,275623,-0.005741,0.000000,0.001932,-4.040122
0.02,0.05,211590,-0.005849,0.000000,0.003857,-4.061494
0.05,0.1,166168,-0.005992,0.000000,0.004676,-4.109915
0.1,0.2,126155,-0.006026,0.000000,0.007800,-4.094885
0.2,0.4,72727,-0.005786,0.000000,0.010175,-3.897686
0.4,1.01,729421,0.016811,0.000000,0.027076,5.210959
