condition,total_tokens,valid_tokens,acc_normal,acc_variant,acc_normal_pct,acc_variant_pct,c2c,c2w,w2c,w2w,c2c_pct,c2w_pct,w2c_pct,w2w_pct,net_acc_delta_pct
zero,38805,32613,9730,9650,29.8347,29.5894,9562,168,88,22795,29.3196,0.5151,0.2698,69.8954,-0.2453
random,38805,32613,9730,9649,29.8347,29.5864,9562,168,87,22796,29.3196,0.5151,0.2668,69.8985,-0.2484
