val_index,train_index,checkpoint,loss_type,lr,score
VAL_AGG,592,checkpoint_epoch300.pt,train,1e-06,3.435145117691718e-05
VAL_AGG,7771,checkpoint_epoch300.pt,train,1e-06,4.392638220451772e-05
VAL_AGG,2357,checkpoint_epoch300.pt,train,1e-06,4.392638220451772e-05
VAL_AGG,1954,checkpoint_epoch300.pt,train,1e-06,3.734484198503196e-05
VAL_AGG,7211,checkpoint_epoch300.pt,train,1e-06,3.734484198503196e-05
VAL_AGG,119,checkpoint_epoch300.pt,train,1e-06,2.1294186808518134e-05
VAL_AGG,8648,checkpoint_epoch300.pt,train,1e-06,2.1294186808518134e-05
VAL_AGG,9170,checkpoint_epoch300.pt,train,1e-06,2.6405487005831674e-05
VAL_AGG,9537,checkpoint_epoch300.pt,train,1e-06,2.6405487005831674e-05
VAL_AGG,7414,checkpoint_epoch300.pt,train,1e-06,3.8480942748719826e-05
VAL_AGG,3887,checkpoint_epoch300.pt,train,1e-06,3.8480942748719826e-05
VAL_AGG,1891,checkpoint_epoch300.pt,train,1e-06,2.4498522179783322e-05
VAL_AGG,4291,checkpoint_epoch300.pt,train,1e-06,2.4498522179783322e-05
VAL_AGG,3053,checkpoint_epoch300.pt,train,1e-06,2.378707540628966e-05
VAL_AGG,735,checkpoint_epoch300.pt,train,1e-06,2.378707540628966e-05
VAL_AGG,318,checkpoint_epoch300.pt,train,1e-06,2.355956530664116e-05
VAL_AGG,9512,checkpoint_epoch300.pt,train,1e-06,2.355956530664116e-05
VAL_AGG,10325,checkpoint_epoch300.pt,train,1e-06,2.9341597837628797e-05
VAL_AGG,1339,checkpoint_epoch300.pt,train,1e-06,2.9341597837628797e-05
VAL_AGG,4091,checkpoint_epoch300.pt,train,1e-06,2.7913894882658496e-05
VAL_AGG,9002,checkpoint_epoch300.pt,train,1e-06,2.7913894882658496e-05
VAL_AGG,5060,checkpoint_epoch300.pt,train,1e-06,4.3196327169425786e-05
VAL_AGG,7675,checkpoint_epoch300.pt,train,1e-06,4.3196327169425786e-05
VAL_AGG,3194,checkpoint_epoch300.pt,train,1e-06,3.0221661290852353e-05
VAL_AGG,1090,checkpoint_epoch300.pt,train,1e-06,3.0221661290852353e-05
VAL_AGG,6203,checkpoint_epoch300.pt,train,1e-06,2.6992103812517598e-05
VAL_AGG,3023,checkpoint_epoch300.pt,train,1e-06,2.6992103812517598e-05
VAL_AGG,8765,checkpoint_epoch300.pt,train,1e-06,2.352518458792474e-05
VAL_AGG,4220,checkpoint_epoch300.pt,train,1e-06,2.352518458792474e-05
VAL_AGG,3860,checkpoint_epoch300.pt,train,1e-06,2.7819827664643526e-05
VAL_AGG,1516,checkpoint_epoch300.pt,train,1e-06,2.7819827664643526e-05
VAL_AGG,5173,checkpoint_epoch300.pt,train,1e-06,2.5776073016459122e-05
VAL_AGG,8425,checkpoint_epoch300.pt,train,1e-06,2.5776073016459122e-05
VAL_AGG,2423,checkpoint_epoch300.pt,train,1e-06,2.930190930783283e-05
VAL_AGG,5979,checkpoint_epoch300.pt,train,1e-06,2.930190930783283e-05
VAL_AGG,7963,checkpoint_epoch300.pt,train,1e-06,3.993264908785932e-05
VAL_AGG,9344,checkpoint_epoch300.pt,train,1e-06,3.993264908785932e-05
VAL_AGG,483,checkpoint_epoch300.pt,train,1e-06,2.3407428670907393e-05
VAL_AGG,3282,checkpoint_epoch300.pt,train,1e-06,2.3407428670907393e-05
VAL_AGG,8142,checkpoint_epoch300.pt,train,1e-06,2.6588199034449644e-05
VAL_AGG,8333,checkpoint_epoch300.pt,train,1e-06,2.6588199034449644e-05
VAL_AGG,1805,checkpoint_epoch300.pt,train,1e-06,2.778845555440057e-05
VAL_AGG,9388,checkpoint_epoch300.pt,train,1e-06,2.778845555440057e-05
VAL_AGG,8824,checkpoint_epoch300.pt,train,1e-06,2.2700729459756985e-05
VAL_AGG,33,checkpoint_epoch300.pt,train,1e-06,2.2700729459756985e-05
VAL_AGG,4002,checkpoint_epoch300.pt,train,1e-06,3.4240852983202785e-05
VAL_AGG,8217,checkpoint_epoch300.pt,train,1e-06,3.4240852983202785e-05
VAL_AGG,5982,checkpoint_epoch300.pt,train,1e-06,3.264386032242328e-05
VAL_AGG,9182,checkpoint_epoch300.pt,train,1e-06,3.264386032242328e-05
VAL_AGG,4092,checkpoint_epoch300.pt,train,1e-06,2.4723220121813938e-05
VAL_AGG,1775,checkpoint_epoch300.pt,train,1e-06,2.4723220121813938e-05
VAL_AGG,7296,checkpoint_epoch300.pt,train,1e-06,3.9041115087457e-05
VAL_AGG,450,checkpoint_epoch300.pt,train,1e-06,3.9041115087457e-05
VAL_AGG,8106,checkpoint_epoch300.pt,train,1e-06,3.2370920962421224e-05
VAL_AGG,8018,checkpoint_epoch300.pt,train,1e-06,3.2370920962421224e-05
VAL_AGG,3160,checkpoint_epoch300.pt,train,1e-06,2.394288640061859e-05
VAL_AGG,1915,checkpoint_epoch300.pt,train,1e-06,2.394288640061859e-05
VAL_AGG,7859,checkpoint_epoch300.pt,train,1e-06,3.33012176270131e-05
VAL_AGG,5594,checkpoint_epoch300.pt,train,1e-06,3.33012176270131e-05
VAL_AGG,304,checkpoint_epoch300.pt,train,1e-06,2.286426206410397e-05
VAL_AGG,8866,checkpoint_epoch300.pt,train,1e-06,2.286426206410397e-05
VAL_AGG,8589,checkpoint_epoch300.pt,train,1e-06,2.0984787624911405e-05
VAL_AGG,303,checkpoint_epoch300.pt,train,1e-06,2.0984787624911405e-05
VAL_AGG,1022,checkpoint_epoch300.pt,train,1e-06,1.7625445252633654e-05
VAL_AGG,8916,checkpoint_epoch300.pt,train,1e-06,1.7625445252633654e-05
VAL_AGG,4467,checkpoint_epoch300.pt,train,1e-06,3.282442412455566e-05
VAL_AGG,3578,checkpoint_epoch300.pt,train,1e-06,3.282442412455566e-05
