bin_left,bin_right,count,gate_mean,gate_std,gate_p10,gate_p50,gate_p90,low_gate_frac,high_gate_frac
0.0,0.02,4873,0.487093,0.045700,0.425904,0.489383,0.548195,0.000000,0.000000
0.02,0.05,4205,0.486354,0.046330,0.424334,0.487317,0.547944,0.000000,0.000000
0.05,0.1,3769,0.486111,0.046447,0.424111,0.487366,0.547528,0.000000,0.000000
0.1,0.2,3558,0.486721,0.046950,0.425048,0.486923,0.550980,0.000000,0.000000
0.2,0.4,2796,0.483773,0.047342,0.421147,0.483642,0.546893,0.000000,0.000000
0.4,1.01,13412,0.470839,0.049177,0.409222,0.463882,0.538188,0.000000,0.000000
