condition,total_tokens,valid_tokens,acc_normal,acc_variant,acc_normal_pct,acc_variant_pct,c2c,c2w,w2c,w2w,c2c_pct,c2w_pct,w2c_pct,w2w_pct,net_acc_delta_pct
zero,38805,32613,9928,9797,30.4418,30.0402,9608,320,189,22496,29.4606,0.9812,0.5795,68.9786,-0.4017
random,38805,32613,9928,9792,30.4418,30.0248,9605,323,187,22498,29.4514,0.9904,0.5734,68.9848,-0.4170
