condition,total_tokens,valid_tokens,acc_normal,acc_variant,acc_normal_pct,acc_variant_pct,c2c,c2w,w2c,w2w,c2c_pct,c2w_pct,w2c_pct,w2w_pct,net_acc_delta_pct
zero,1582560,1581684,602347,362595,38.0826,22.9246,357218,245129,5377,973960,22.5847,15.4980,0.3400,61.5774,-15.1580
random,1582560,1581684,602347,356706,38.0826,22.5523,351497,250850,5209,974128,22.2230,15.8597,0.3293,61.5880,-15.5303
