nohup: ignoring input
==========================================
Running exp12: exp12_temp_annealing
Strategy: MSE + Temperature Annealing (No CE)
GPU: 2

Key settings:
  - MSE weight: 1.0
  - CE weight: 0.0 (OFF)
  - Temperature: 2.0 → 0.1
  - Curriculum: ON (temp only)
==========================================
/home/sbplab/miniconda3/lib/python3.13/site-packages/torch/nn/utils/weight_norm.py:143: FutureWarning: `torch.nn.utils.weight_norm` is deprecated in favor of `torch.nn.utils.parametrizations.weight_norm`.
  WeightNorm.apply(module, name, dim)
/home/sbplab/ruizi/WavTokenize-self-supervised/exp_1204/train.py:143: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  self.scaler = GradScaler() if config.use_amp else None
✓ Applied WavTokenizer-LoRA compatibility patch
Using device: cuda
Experiment directory: experiments/exp12_temp_annealing
Loading distance matrix from /home/sbplab/ruizi/WavTokenize-self-supervised/exp_1204/wavtok_distance_mat_corrected.pt...
Distance matrix shape: torch.Size([4096, 4096])
✓ Applied WavTokenizer-LoRA compatibility patch

Creating Teacher-Student model...
  WavTokenizer config: /home/sbplab/ruizi/WavTokenizer-main/configs/wavtokenizer_smalldata_frame75_3s_nq1_code4096_dim512_kmeans200_attn.yaml
  WavTokenizer checkpoint: /home/sbplab/ruizi/c_code/models/wavtokenizer_large_speech_320_24k.ckpt
  LoRA rank: 128
  LoRA alpha: 256
Loading Teacher model (frozen)...
✓ Teacher loaded and frozen
Loading Student model (with LoRA)...
trainable params: 308,096 || all params: 80,860,516 || trainable%: 0.3810
✓ Student loaded with LoRA
Computing codebook distance matrix...
✓ Distance matrix shape: torch.Size([4096, 4096])

Model Statistics:
  Total parameters: 161,412,936
  Trainable parameters: 308,096
  Trainable ratio: 0.1909%
Loaded 14400 samples from /home/sbplab/ruizi/c_code/done/exp/data3/train_cache.pt
Loaded 2592 samples from /home/sbplab/ruizi/c_code/done/exp/data3/val_cache.pt
Loading VQ codebook from model...
Codebook shape: torch.Size([4096, 512])

============================================================
exp_1204: Curriculum Learning + Mixed Loss
============================================================
  MSE weight: 1.0
  CE weight (final): 0.0
  Initial temperature: 2.0
  Final temperature: 0.1
  Curriculum mode: linear
  Warm-up epochs: 5
  Transition epochs: 20
============================================================


======================================================================
                          Starting Training                           
======================================================================
Experiment: exp12_temp_annealing
Total epochs: 50
Train batches: 720
Val batches: 130
======================================================================

  📈 Curriculum: epoch=0, temp=2.000, ce_weight=0.000

Epoch 1/50:   0%|          | 0/720 [00:00<?, ?it/s]/home/sbplab/ruizi/WavTokenize-self-supervised/exp_1204/train.py:315: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast(enabled=self.config.use_amp):

Epoch 1/50:   0%|          | 0/720 [00:01<?, ?it/s, loss=0.0398, acc=45.0%, lr=1.39e-08]
Epoch 1/50:   0%|          | 1/720 [00:01<19:34,  1.63s/it, loss=0.0398, acc=45.0%, lr=1.39e-08]
Epoch 1/50:   0%|          | 1/720 [00:02<19:34,  1.63s/it, loss=0.0532, acc=27.2%, lr=2.78e-08]
Epoch 1/50:   0%|          | 2/720 [00:02<12:08,  1.01s/it, loss=0.0532, acc=27.2%, lr=2.78e-08]
Epoch 1/50:   0%|          | 2/720 [00:02<12:08,  1.01s/it, loss=0.0489, acc=37.9%, lr=4.17e-08]
Epoch 1/50:   0%|          | 3/720 [00:02<10:05,  1.18it/s, loss=0.0489, acc=37.9%, lr=4.17e-08]
Epoch 1/50:   0%|          | 3/720 [00:03<10:05,  1.18it/s, loss=0.0484, acc=43.9%, lr=5.56e-08]
Epoch 1/50:   1%|          | 4/720 [00:03<08:44,  1.36it/s, loss=0.0484, acc=43.9%, lr=5.56e-08]
Epoch 1/50:   1%|          | 4/720 [00:04<08:44,  1.36it/s, loss=0.0512, acc=38.9%, lr=6.94e-08]
Epoch 1/50:   1%|          | 5/720 [00:04<08:31,  1.40it/s, loss=0.0512, acc=38.9%, lr=6.94e-08]
Epoch 1/50:   1%|          | 5/720 [00:04<08:31,  1.40it/s, loss=0.0569, acc=38.2%, lr=8.33e-08]
Epoch 1/50:   1%|          | 6/720 [00:04<08:08,  1.46it/s, loss=0.0569, acc=38.2%, lr=8.33e-08]
Epoch 1/50:   1%|          | 6/720 [00:05<08:08,  1.46it/s, loss=0.0518, acc=29.7%, lr=9.72e-08]
Epoch 1/50:   1%|          | 7/720 [00:05<07:42,  1.54it/s, loss=0.0518, acc=29.7%, lr=9.72e-08]
Epoch 1/50:   1%|          | 7/720 [00:05<07:42,  1.54it/s, loss=0.0326, acc=59.3%, lr=1.11e-07]
Epoch 1/50:   1%|          | 8/720 [00:05<07:38,  1.55it/s, loss=0.0326, acc=59.3%, lr=1.11e-07]
Epoch 1/50:   1%|          | 8/720 [00:06<07:38,  1.55it/s, loss=0.0393, acc=49.0%, lr=1.25e-07]
Epoch 1/50:   1%|▏         | 9/720 [00:06<07:48,  1.52it/s, loss=0.0393, acc=49.0%, lr=1.25e-07]
Epoch 1/50:   1%|▏         | 9/720 [00:07<07:48,  1.52it/s, loss=0.0364, acc=53.0%, lr=1.39e-07]
Epoch 1/50:   1%|▏         | 10/720 [00:07<07:55,  1.49it/s, loss=0.0364, acc=53.0%, lr=1.39e-07]
Epoch 1/50:   1%|▏         | 10/720 [00:07<07:55,  1.49it/s, loss=0.0456, acc=40.7%, lr=1.53e-07]
Epoch 1/50:   2%|▏         | 11/720 [00:07<07:39,  1.54it/s, loss=0.0456, acc=40.7%, lr=1.53e-07]
Epoch 1/50:   2%|▏         | 11/720 [00:08<07:39,  1.54it/s, loss=0.0433, acc=51.9%, lr=1.67e-07]
Epoch 1/50:   2%|▏         | 12/720 [00:08<08:16,  1.42it/s, loss=0.0433, acc=51.9%, lr=1.67e-07]
Epoch 1/50:   2%|▏         | 12/720 [00:09<08:16,  1.42it/s, loss=0.0399, acc=42.0%, lr=1.81e-07]
Epoch 1/50:   2%|▏         | 13/720 [00:09<07:58,  1.48it/s, loss=0.0399, acc=42.0%, lr=1.81e-07]
Epoch 1/50:   2%|▏         | 13/720 [00:10<07:58,  1.48it/s, loss=0.0290, acc=64.1%, lr=1.94e-07]
Epoch 1/50:   2%|▏         | 14/720 [00:10<08:35,  1.37it/s, loss=0.0290, acc=64.1%, lr=1.94e-07]
