condition,total_tokens,valid_tokens,acc_normal,acc_variant,acc_normal_pct,acc_variant_pct,c2c,c2w,w2c,w2w,c2c_pct,c2w_pct,w2c_pct,w2w_pct,net_acc_delta_pct
zero,1582560,1581684,611663,604024,38.6716,38.1887,597874,13789,6150,963871,37.7998,0.8718,0.3888,60.9395,-0.4830
random,1582560,1581684,611663,603628,38.6716,38.1636,597430,14233,6198,963823,37.7718,0.8999,0.3919,60.9365,-0.5080
