bin_left,bin_right,count,gate_mean,gate_std,gate_p10,gate_p50,gate_p90,low_gate_frac,high_gate_frac
0.0,0.02,21827,0.486838,0.046308,0.425398,0.487846,0.548659,0.000000,0.000000
0.02,0.05,547,0.482141,0.044063,0.423696,0.482166,0.536999,0.000000,0.000000
0.05,0.1,289,0.459181,0.034343,0.417803,0.458504,0.503387,0.000000,0.000000
0.1,0.2,299,0.459325,0.026917,0.428043,0.461737,0.490752,0.000000,0.000000
0.2,0.4,354,0.448715,0.031827,0.399176,0.456862,0.481639,0.000000,0.000000
0.4,1.01,9297,0.465884,0.050277,0.406616,0.453868,0.536467,0.000000,0.000000
